Country;Area(sq km);Birth rate(births/1000 population);Current account balance;Death rate(deaths/1000 population);Debt - external;Electricity - consumption(kWh);Electricity - production(kWh);Exports;GDP;GDP - per capita;GDP - real growth rate(%);HIV/AIDS - adult prevalence rate(%);HIV/AIDS - deaths;HIV/AIDS - people living with HIV/AIDS;Highways(km);Imports;Industrial production growth rate(%);Infant mortality rate(deaths/1000 live births);Inflation rate (consumer prices)(%);Internet hosts;Internet users;Investment (gross fixed)(% of GDP);Labor force;Life expectancy at birth(years);Military expenditures - dollar figure;Military expenditures - percent of GDP(%);Natural gas - consumption(cu m);Natural gas - exports(cu m);Natural gas - imports(cu m);Natural gas - production(cu m);Natural gas - proved reserves(cu m);Oil - consumption(bbl/day);Oil - exports(bbl/day);Oil - imports(bbl/day);Oil - production(bbl/day);Oil - proved reserves(bbl);Population;Public debt(% of GDP);Railways(km);Reserves of foreign exchange & gold;Telephones - main lines in use;Telephones - mobile cellular;Total fertility rate(children born/woman);Unemployment rate(%)
String;double;double;double;double;double;double;double;double;double;double;double;double;double;double;double;double;double;double;double;double;double;double;double;double;double;double;double;double;double;double;double;double;double;double;double;double;double;double;double;double;double;double;double;double
J;18751.008062709967;0.46204031354983205;6.2855751399776034E7;0.20327883538633812;8.809980739081746E8;1.4912265173572228E9;1.6386886763717806E9;1.0488672318029115E9;6.545351399776036E9;250.46696528555432;0.10595744680851063;0.03340873460246359;215.55543113101905;3204.7527435610305;3244.820380739082;9.484262262038074E8;0.08483762597984322;0.7684613661814109;0.118521836506159;7679.092721164614;77816.44098544233;0.32279955207166844;442755.71422172454;1.463681970884658;7.179982306830907E7;0.04699888017917132;1.784835543113102E8;5.34474804031355E7;8.108799552071668E7;1.5595569316909295E8;1.1532301677491602E10;7529.236282194849;2056.282194848824;4432.145576707727;5272.87928331467;1.1765661209406495E8;938197.891825308;0.5291377379619262;121.3410974244121;5.007737693169093E8;151856.30235162374;168774.29540873462;0.061569988801791695;0.25045912653975366;
K;17919.655952632693;0.46617255233664634;6.744001057305984E7;0.2016324804398392;8.732181010784521E8;1.4861281264537957E9;1.6327969845633326E9;1.0500492471981392E9;6.401401564812857E9;246.10594205963207;0.10471558469020935;0.03302812433918374;235.32565024318038;3282.1782617889617;3107.184394163671;9.446375978008035E8;0.08314654260943116;0.7650348910974835;0.11626136603933178;7402.28716430535;79888.22351448509;0.319242968915204;428194.57263692113;1.4669951363924714;7.290429477690844E7;0.046658913089448084;1.7520936138718545E8;5.046373440473673E7;8.144806513004863E7;1.4909244449143583E8;1.1215844150983295E10;7642.890674561218;2491.3089448086275;4665.686191583844;5469.31824910129;1.3149434827659124E8;909664.4150983294;0.5260731655741173;117.01733981814337;5.168929118206809E8;148705.85536054135;167103.70670331994;0.06198984986255019;0.2503912032142102;
L;17080.545758708915;0.4646939578823068;6.366276520370006E7;0.20591025388703008;8.206200354260973E8;1.393115038378272E9;1.5304553709899626E9;9.872069258020074E8;5.990393229679197E9;253.401889391852;0.10956504625073803;0.03784491241881518;226.3442235780358;3141.826608935249;2941.1523322180674;8.900937610706553E8;0.08504231450501869;0.7687502460145639;0.11523322180673094;6920.701043101752;74825.84314111396;0.32532965951584325;400134.38968706946;1.4710155481204483;6.833068490454635E7;0.0460834481401299;1.651840326707341E8;4.711926786065735E7;7.685394607360756E7;1.3997995866955325E8;1.0698824442038969E10;7210.682936429836;2318.841566620744;4352.436528242472;5390.080692777013;1.2986356484943908E8;850842.9419405629;0.5336547923637082;109.98641999606377;4.90361893328085E8;139056.8372367644;156480.30486124777;0.06172013383192282;0.27252509348553433;
M;15815.742128935532;0.4829985007496252;5.515209228718974E7;0.20901715808762286;7.378592203898051E8;1.228977641845744E9;1.3491728035982008E9;8.901705030817925E8;5.319244677661169E9;240.15242378810595;0.10421455938697316;0.037396301849075435;228.4449441945694;3113.046976511744;2599.8577377977676;8.073690987839414E8;0.08205897051474262;0.8016774945860403;0.11400966183574875;6103.993336665001;66754.1410961186;0.3119107113110111;353134.76345160755;1.47591537564551;5.959678660669665E7;0.043858070964517736;1.5455773280026653E8;4.361535898717308E7;6.669913376645011E7;1.3531703648175913E8;9.507763183408297E9;6527.816091954023;2311.4661002831917;3719.928369148759;5269.622188905547;1.1349937914376146E8;760149.9142095619;0.5316508412460438;98.27669498584041;4.381700116608362E8;121754.021322672;140815.82525403964;0.06410128269198731;0.2765617191404298;
N;14922.874143965912;0.4808354892710394;5.817012783442398E7;0.20606300410896367;6.875048878405113E8;1.1637314524425507E9;1.2755024410287628E9;8.782378339978694E8;5.004093349566276E9;241.59716938061177;0.0991934256581951;0.03533556536295843;257.13818292497336;3416.149901080505;2457.8978846446507;7.897315142291889E8;0.07895297519403437;0.7880763962867142;0.10972454725308167;6428.640693958301;63098.63171511186;0.30105006848272714;334754.79166032566;1.4616146705219895;5.677338456855882E7;0.04137574189621062;1.5157267843555015E8;5.622173185207731E7;6.40960127834424E7;1.471377522447116E8;9.823473198904276E9;6207.444833358697;2859.6391721199207;3781.9586059960434;5689.834423984173;1.1039011611626846E8;724749.5595799726;0.5162075787551363;91.97382437985085;4.0662906406939584E8;113769.56658042916;132121.80779181252;0.06362501902297972;0.28216405417744633;
O;14922.874143965912;0.4808354892710394;5.817012783442398E7;0.20606300410896367;6.875048878405113E8;1.1637314524425507E9;1.2755024410287628E9;8.782378339978694E8;5.004093349566276E9;241.59716938061177;0.0991934256581951;0.03533556536295843;257.13818292497336;3416.149901080505;2457.8978846446507;7.897315142291889E8;0.07895297519403437;0.7880763962867142;0.10972454725308167;6428.640693958301;63098.63171511186;0.30105006848272714;334754.79166032566;1.4616146705219895;5.677338456855882E7;0.04137574189621062;1.5157267843555015E8;5.622173185207731E7;6.40960127834424E7;1.471377522447116E8;9.823473198904276E9;6207.444833358697;2859.6391721199207;3781.9586059960434;5689.834423984173;1.1039011611626846E8;724749.5595799726;0.5162075787551363;91.97382437985085;4.0662906406939584E8;113769.56658042916;132121.80779181252;0.06362501902297972;0.28216405417744633;
P;14412.944206621005;0.4764540525114155;5.327887414383562E7;0.20253424657534244;7.122312525684931E8;1.1275317314497716E9;1.2430291866438355E9;8.552341334474885E8;4.887430279680366E9;238.10430936073058;0.09736015981735159;0.03357448630136983;242.10259703196348;3229.0122716894975;2411.4113869863013;7.721435188356165E8;0.07783961187214611;0.7659945776255707;0.10801940639269401;6209.283675799087;61994.30779109589;0.30114155251141556;325006.22089041094;1.463351883561643;5.449593464611872E7;0.0401954908675799;1.4469906820776257E8;5.272174657534247E7;6.180649257990868E7;1.388892223173516E8;9.338276596746574E9;6039.1752283105025;2699.988441780822;3700.66352739726;5361.412956621005;1.0362737628424658E8;705790.9668949771;0.540724885844749;90.79808789954338;3.935167494292237E8;110069.4952910959;130829.91010273973;0.06298087899543375;0.2773116438356164;
Q;14412.944206621005;0.4764540525114155;5.327887414383562E7;0.20253424657534244;7.122312525684931E8;1.1275317314497716E9;1.2430291866438355E9;8.552341334474885E8;4.887430279680366E9;238.10430936073058;0.09736015981735159;0.03357448630136983;242.10259703196348;3229.0122716894975;2411.4113869863013;7.721435188356165E8;0.07783961187214611;0.7659945776255707;0.10801940639269401;6209.283675799087;61994.30779109589;0.30114155251141556;325006.22089041094;1.463351883561643;5.449593464611872E7;0.0401954908675799;1.4469906820776257E8;5.272174657534247E7;6.180649257990868E7;1.388892223173516E8;9.338276596746574E9;6039.1752283105025;2699.988441780822;3700.66352739726;5361.412956621005;1.0362737628424658E8;705790.9668949771;0.540724885844749;90.79808789954338;3.935167494292237E8;110069.4952910959;130829.91010273973;0.06298087899543375;0.2773116438356164;
R;16577.2448522202;0.4762697856842695;5.821191343325396E7;0.20478218237848436;7.265452609609189E8;1.2401929365457346E9;1.3563307522061913E9;8.656101116683009E8;5.020456842695055E9;236.36853901106596;0.0977727973105477;0.03384087407199885;242.0514077601905;3326.1546435074943;2471.9449502731477;7.750079534948872E8;0.07884857823224539;0.7705757108838772;0.1099733856282392;6181.234906849699;62260.97618714106;0.3043563524303124;331101.4982490545;1.4624709343045237;5.364093150301163E7;0.0402521361535229;2.0147794789186162E8;7.570724191063175E7;6.6009230984731756E7;2.1915333660176495E8;1.5770004537050007E10;6288.22524163048;3506.306065275249;3632.75668861185;6460.398094971284;1.1153882238408741E8;717239.6977167671;0.5380585516178736;102.93528505392912;4.0603533828267264E8;113627.99033478078;131881.04916654993;0.06296259980389407;0.2742681047765793;
S;15228.094997594997;0.4750649350649349;6.037676647426648E7;0.20534872534872534;7.453414283309283E8;1.1696207027417028E9;1.2759104401154401E9;8.416467757575758E8;4.642808044733045E9;235.32166907166908;0.09605579605579605;0.03808321308321306;259.1519961519962;3619.8665223665225;2316.802429052429;7.553630567580568E8;0.07728475228475229;0.7568049543049542;0.10898268398268393;5742.910173160173;56878.319985569986;0.3040404040404041;295439.90704665706;1.4696933621933614;5.175072270322271E7;0.03986892736892735;1.846302392977393E8;6.499206349206349E7;6.044984367484368E7;1.9599971981721982E8;1.4347004965127464E10;6057.341269841269;4071.922679172679;3410.352813852814;6763.239658489659;1.2773403595478596E8;646712.4034391535;0.5746392496392496;97.3401875901876;3.840040283790284E8;103445.31301106302;124197.17532467532;0.06291847041847039;0.27403799903799897;
T;14675.841968325793;0.4765497737556559;5.596810407239819E7;0.20335407239819;7.121574341628959E8;1.1303529042986426E9;1.2347160418552036E9;8.122556544343891E8;4.501568936651584E9;227.94513574660633;0.09729638009049774;0.037861990950226236;269.8425339366516;3666.652714932127;2245.923755656109;7.330765840497738E8;0.08218325791855205;0.7694004524886877;0.1095588235294117;5458.184954751131;55058.36074660633;0.3052488687782806;288353.0571266968;1.4644321266968316;5.0327286199095026E7;0.03960972850678731;1.8141912556561086E8;6.739411764705883E7;5.95566628959276E7;1.9624951018099546E8;1.3777609535067873E10;5882.279411764706;3835.7713800904976;3277.9404977375566;6435.682239819004;1.2059814966063349E8;631112.9358597285;0.5677828054298643;94.0673076923077;3.722664253393665E8;100465.82839366516;123381.73190045249;0.06298190045248866;0.2757013574660634;
U;15479.007139718806;0.47311072056238995;-1.9076698154657293E7;0.2036214850615114;1.3669697625219684E9;1.5609366952987697E9;1.694985260325132E9;9.260577751757469E8;5.907897561511423E9;234.24154217926187;0.09885764499121266;0.03706942003514938;265.91695957820735;3711.6882688927944;2954.948374340949;9.312168280975395E8;0.08573154657293498;0.7613202987697715;0.10964411247803157;18365.588642355007;74309.98561072056;0.30530536028119515;303810.52559314587;1.4701318101933205;9.458535918277681E7;0.0400208699472759;2.7420030426186293E8;7.178866432337435E7;7.730073594024605E7;2.763560709578207E8;1.485742182447276E10;8143.436950790861;4163.688378734622;3301.954525483304;7600.915092267135;1.3317658644551845E8;660750.1765158172;0.57201230228471;121.45221880492092;3.799912346221441E8;122940.30349297012;143589.4782513181;0.06257579086115991;0.27097978910369075;
V;15392.252381983542;0.4717821567778256;-1.7447516240796883E7;0.2025909484625379;1.3528294411000433E9;1.551872052187094E9;1.684317974231269E9;9.192713279774795E8;5.864053637938501E9;233.676375054136;0.10031398873971417;0.03665872672152446;263.53486357730617;3694.3709398007795;2933.3653096578605;9.223785191641403E8;0.08757037678648766;0.7565223040277175;0.11176916414032043;18106.96838458207;73768.13653096578;0.30630142919012565;305453.6514724989;1.473355348635772;9.348658618449545E7;0.039881983542659136;2.736054103508012E8;7.076266782156777E7;7.61959614551754E7;2.7573036704200953E8;1.511959379493287E10;8108.36401039411;4331.5525119099175;3254.763317453443;7812.703659592898;1.3978883098744044E8;663110.5643135556;0.5756388046773495;120.07178432221741;3.78053291468168E8;121975.06745344304;142538.45928973582;0.06237332178432221;0.27017106972715466;
W;15210.911683041435;0.46879004698846616;-1.720901964972234E7;0.20024775736864586;1.334348645664246E9;1.5306678741990602E9;1.6613040164459634E9;9.067273852199914E8;5.78409434002563E9;230.97340879965827;0.09958351131994875;0.03615762494660401;259.93250747543783;3643.8712088850916;2894.4235369500216;9.099304039940196E8;0.08637334472447673;0.7482763776164031;0.1104762921828278;17859.45749679624;72775.35337462623;0.3021144809910295;301318.4456428877;1.4610198633062783;9.220868325501922E7;0.03933682187099528;2.698653961982059E8;6.979538658692867E7;7.515441050832978E7;2.7196130606578386E8;1.4912918441905169E10;7997.719991456643;4272.342909013242;3210.272746689449;7705.908906450235;1.3787800544639042E8;654331.8902178556;0.5677701836821871;118.43047842802221;3.7288554036736435E8;120340.156236651;140641.30820162324;0.06199060230670653;0.2693827424177702;
Y;15210.911683041435;0.46879004698846616;-1.720901964972234E7;0.20024775736864586;1.334348645664246E9;1.5306678741990602E9;1.6613040164459634E9;9.067273852199914E8;5.78409434002563E9;230.97340879965827;0.09958351131994875;0.03615762494660401;259.93250747543783;3643.8712088850916;2894.4235369500216;9.099304039940196E8;0.08637334472447673;0.7482763776164031;0.1104762921828278;17859.45749679624;72775.35337462623;0.3021144809910295;301318.4456428877;1.4610198633062783;9.220868325501922E7;0.03933682187099528;2.698653961982059E8;6.979538658692867E7;7.515441050832978E7;2.7196130606578386E8;1.4912918441905169E10;7997.719991456643;4272.342909013242;3210.272746689449;7705.908906450235;1.3787800544639042E8;654331.8902178556;0.5677701836821871;118.43047842802221;3.7288554036736435E8;120340.156236651;140641.30820162324;0.06199060230670653;0.2693827424177702;
Z;15210.911683041435:0.46879004698846616:-1.720901964972234E7:0.20024775736864586:1.334348645664246E9:1.5306678741990602E9:1.6613040164459634E9:9.067273852199914E8:5.78409434002563E9:230.97340879965827:0.09958351131994875:0.03615762494660401:259.93250747543783:3643.8712088850916:2894.4235369500216:9.099304039940196E8:0.08637334472447673:0.7482763776164031:0.1104762921828278:17859.45749679624:72775.35337462623:0.3021144809910295:301318.4456428877:1.4610198633062783:9.220868325501922E7:0.03933682187099528:2.698653961982059E8:6.979538658692867E7:7.515441050832978E7:2.7196130606578386E8:1.4912918441905169E10:7997.719991456643:4272.342909013242:3210.272746689449:7705.908906450235:1.3787800544639042E8:654331.8902178556:0.5677701836821871:118.43047842802221:3.7288554036736435E8:120340.156236651:140641.30820162324:0.06199060230670653:0.2693827424177702:
Z;15181.28794642857:0.46975871598639424:-1.7153014455782313E7:0.20193239795918366:1.328542380739796E9:1.5247017404336734E9:1.6544738318452382E9:9.026365045918367E8:5.759633227040816E9:230.09513180272108:0.09824617346938776:0.03860331632653061:276.78656462585036:3818.155824829932:2882.8358843537417:9.058447388392857E8:0.085140306122449:0.751971726190476:0.12409651360544213:17776.40954506803:72488.13871173469:0.3017538265306123:300358.8355654762:1.4580846088435364:9.18005006377551E7:0.03960990646258501:2.686032706207483E8:6.946896258503401E7:7.480292304421769E7:2.7068937818877554E8:1.484317264987245E10:7962.760416666667:4252.361713435374:3195.2587159863947:7669.869366496599:1.3723316783588436E8:652626.5741921769:0.5706738945578231:118.20365646258503:3.7114766156462586E8:119809.3242984694:140023.8424744898:0.06207695578231291:0.2755633503401361:
